feature,importance_mean,importance_std
gz_p90,7.106968273686842e-05,4.080305736775439e-05
ay_dom_freq,7.020133781732163e-05,6.771979472698212e-05
gz_std,6.92349261866676e-05,8.995823736890728e-05
az_mean,6.776606769083315e-05,0.0001294352331568278
alpha_z_spec_centroid,6.763709011270436e-05,2.6854874610632135e-05
ax_spec_centroid,6.362352142603722e-05,0.00038540873442380195
acc_mag_dom_freq,5.8163681717160463e-05,0.00012826411392144826
alpha_z_power_high,5.725829347391631e-05,3.785496889329311e-06
alpha_z_rms,4.98538320073072e-05,3.435278299104065e-05
alpha_z_dom_freq,4.5493141948593775e-05,1.6562514576431034e-05
ay_power_high,4.43824871425802e-05,2.593536013188324e-05
gz_rms,2.7289045430367587e-05,4.295197825386249e-06
alpha_z_std,2.4817436839619233e-05,4.047318037789971e-05
acc_mag_power_high,2.228894320839281e-05,9.470974785932219e-06
alpha_z_kurt,1.876940686669215e-05,1.1302892442355862e-05
gz_spec_centroid,1.4970355163046456e-05,8.461111612288379e-06
gx_power_high,4.636066781027459e-06,2.2771019744642308e-05
gz_kurt,3.840193481030596e-06,1.6965396523216427e-05
gz_min,3.410235995660038e-06,2.784446030699541e-06
gyro_mag_zcr,0.0,0.0
gz_median,0.0,0.0
gz_power_high,0.0,0.0
acc_mag_zcr,0.0,0.0
alpha_z_median,0.0,0.0
alpha_z_mad,0.0,0.0
alpha_z_zcr,0.0,0.0
alpha_mag_zcr,0.0,0.0
jerk_mag_zcr,0.0,0.0
acc_horiz_zcr,0.0,0.0
alpha_z_mean,0.0,0.0
az_zcr,0.0,0.0
ax_power_high,0.0,0.0
ax_zcr,0.0,0.0
gy_zcr,0.0,0.0
gz_iqr,0.0,0.0
gz_mad,0.0,0.0
gz_dom_freq,0.0,0.0
gz_zcr,0.0,0.0
jerk_mag_power_high,0.0,0.0
gyro_mag_power_high,0.0,0.0
gy_power_high,0.0,0.0
gx_zcr,0.0,0.0
ay_zcr,0.0,0.0
az_power_high,0.0,0.0
